split;reason;text;value
0;;"Onsdag den 30. maj 2012 (D)

1";
41;Time;90. møde;Kl. 09:01
84;Time;"Dagsorden
1) Forespørgsel nr. F 41:
Forespørgsel til statsministeren om den indenrigs- og udenrigspolitiske situation.
Af Ellen Trane Nørby (V), Magnus Heunicke (S), Pia Kjærsgaard
(DF), Marianne Jelved (RV), Jesper Petersen (SF), Per Clausen
(EL), Simon Emil Ammitzbøll (LA), Benedikte Kiær (KF), Sara Olsvig (IA), Doris Jakobsen (SIU), Edmund Joensen (SP) og Sjúrður
Skaale (JF).
(Anmeldelse 16.05.2012. Fremme 22.05.2012).

(Ordfører for forespørgerne)";kl. 9.00
562;name_party;":
Med forespørgslen i dag markerer vi, at endnu et folketingsår nærmer sig sin afslutning. Det er derfor fornuftigt, at vi i dag – præcis
som vi gør det hvert år – gør status over folketingsåret, der går på
hæld.
Jeg skal derfor på vegne af forespørgerne anmode statsministeren
om at give en redegørelse for den indenrigs- og udenrigspolitiske situation i Danmark.";Ellen Trane Nørby
936;Time;"Formanden:
Jeg giver herefter ordet til statsministeren til besvarelse af forespørgslen.";Kl. 09:01
1036;Time;Besvarelse;Kl. 09:02
1058;Time;"Formanden:
Mødet er åbnet.

Det eneste punkt på dagsordenen er:
1) Forespørgsel nr. F 41:
Forespørgsel til statsministeren om den indenrigs- og udenrigspolitiske situation:
Hvad kan statsministeren oplyse om den indenrigs- og udenrigspolitiske situation?
Af Ellen Trane Nørby (V), Magnus Heunicke (S), Pia Kjærsgaard
(DF), Marianne Jelved (RV), Jesper Petersen (SF), Per Clausen
(EL), Simon Emil Ammitzbøll (LA), Benedikte Kiær (KF), Sara Olsvig (IA), Doris Jakobsen (SIU), Edmund Joensen (SP) og Sjúrður
Skaale (JF).
(Anmeldelse 16.05.2012. Fremme 22.05.2012).";Kl. 09:00
1631;Time;"Begrundelse
Formanden:
Jeg gør opmærksom på, at der vil blive stemt om eventuelle forslag
til vedtagelse inden mødets afslutning.
Først skulle jeg egentlig give ordet til fru Ellen Trane Nørby til
begrundelse af forespørgslen, men jeg ser ikke fru Ellen Trane Nørby ... Nu kommer fru Ellen Trane Nørby. Værsgo – til begrundelse.";Kl. 09:00
2003;title_name;":
Danmark skal i arbejde, og vi skal alle sammen være med. Hvorfor
er det så vigtigt? Det er sådan set enkelt nok. Når vi er flere, der arbejder, er fællesskabet stærkere. Når vi arbejder mere, bliver vi rigere. Og når vi er rigere, har vi bedre råd til det samfund, vi ønsker.
Derfor skal vi i fællesskab gøre en ekstra indsats. Det kræver handling. Det kræver hårdt arbejde. Det kræver tæt samarbejde. Men vi
kan gøre det, for vi har gjort det før i Danmark i tider, som var mere
vanskelige, end de er i dag.
Når Danmark kom videre efter krisen i 1930'erne, skyldtes det
netop vores evne til at samarbejde. I en tid, hvor totalitære kræfter
havde frit spil i andre lande, satte danske politikere sig sammen på
tværs af ideologiske skel. De mødtes i en lejlighed på Østerbro og
indgik forlig. Kanslergadeforliget satte skub i økonomien og arbejdspladserne på en socialt retfærdig måde. Og når Danmark fik
trukket sig op efter anden verdenskrig og skabte et unikt velfærdssamfund, så skyldes det vores samlede arbejdsindsats. Vi blev bedre
uddannet. Vi brugte ny teknologi. Og kvinderne kom ud på arbejdsmarkedet. Gennem historien har vi reageret på kriser på samme måde og ved at stå sammen, ved at træffe svære beslutninger, ved at
flytte Danmark.
Det skal vi gøre igen. For det er ikke en mulighed at stå stille. Vi
kan ikke gøre tingene i morgen, på samme måde som vi gjorde dem i
dag. Vi skal alle sammen yde det, vi kan, til fællesskabet.
Regeringen har fra første dag sagt åbent og ærligt til danskerne,
at vi kommer til at træffe svære beslutninger. Da krisen ramte Danmark, var vi ikke ordentlig forberedt. Vores indtjening faldt mere,
end den gjorde i andre lande. Vi tabte titusindvis af arbejdspladser.
Og vi kan ikke bare sætte os ned og vente på, at konjunkturerne vender. Vi må ikke tro, at arbejdspladserne kommer retur af sig selv.
For vi har tre store udfordringer, der rækker ud over den aktuelle krise.

2

Onsdag den 30. maj 2012 (F 41)

Den første udfordring er vores skrantende konkurrenceevne. I
årene op til krisen løb økonomien løbsk. Der blev skabt en boble på
boligmarkedet. Priserne steg og steg. Det kom selvfølgelig nogle til
gavn, så længe det varede, men det var en stakket glæde. Sådan er
det med bobler. Økonomien blev overophedet, virksomhedernes omkostninger steg mere end produktiviteten, vores konkurrenceevne
blev forværret med 20 pct. i 00'erne. Det hæmmer vores muligheder
i dag. Derfor er der brug for store reformer. Den dårlige konkurrenceevne er vores første udfordring.
Den anden udfordring er arbejdsstyrken. I starten af 00'erne var
der fire personer i arbejdsstyrken for hver folkepensionist. Frem mod
2020 vil der kun være tre personer i arbejdsstyrken for hver folkepensionist. Derfor skal vi arbejde mere.
Den tredje udfordring er at sikre en sund offentlig økonomi, samtidig med at vi skaber plads til at udvikle velfærden og investere i
fremtiden. Derfor skal vi finde finansiering til hver krone, vi bruger.
Vi har store udfordringer, og derfor er de beslutninger, vi træffer
i dag, vigtige. Vores valg i dag bestemmer, hvilket samfund vi får,
ikke bare i det forjættede år 2020, men også for de kommende generationer. Jeg oplever, at danskerne er parate til at træffe svære valg
og tage den ekstra tørn, der skal til for at få Danmark i arbejde. Forårets overenskomster viser, at mange er parate. Og jeg kan sige med
sikkerhed: Regeringen er parat.

hvad vi kan, for at der bliver arbejde til de ledige håndværkere og
sekretærer og alle andre. Det gør vi med en kickstart – ved at sætte
gang i renovering af boliger, med investeringer i infrastruktur og
med ekstra afskrivninger på de investeringer, som er en del af skattereformen. Mit andet svar er, at vi også bliver nødt til at se længere
frem, for det nytter ikke noget, at vi først løser problemerne, når de
er der. Så kortsynede må vi ikke være. Vi ved, at når de store årgange når pensionsalderen, bliver de afløst af små årgange af unge. Det
er en kendsgerning, og hvis vi ikke handler i dag, vil vi mangle arbejdskraft i morgen, og det vil bremse vores muligheder, når opsvinget kommer igen. Derfor skal vi i Danmark arbejde mere.
For 25 år siden blev der indgået en trepartsaftale, den såkaldte
fælleserklæring. Det var en fremsynet aftale, en aftale, som fejrede
jobfest i stedet for lønfest, en aftale, som også støbte fundamentet til
et af verdens mest robuste og omfattende pensionssystemer. Nu er
det vores tur. Nu skal vores generation af faglige ledere, arbejdsgivere og folkevalgte leve op til vores ansvar. Vi skal støbe fundamentet
til flere arbejdspladser og bedre uddannelser. I sidste uge satte regeringen gang i trepartsforhandlingerne med arbejdsmarkedets parter.
Helt konkret er det målet at øge arbejdsindsatsen med det, der svarer
til 20.000 arbejdspladser frem til 2020. Det er rammen om forhandlingerne.";Helle Thorning-Schmidt
6856;Time;"Hvordan skal vi nå det mål? Det bliver nødvendigt, at danskerne
arbejder mere, for kun på den måde kan vi finde penge til de ting, vi
gerne vil i vores samfund; til at de, der ikke fik så meget uddannelse,
kan få mere uddannelse; til at de ledige kan få en bedre hjælp til at
komme i arbejde; til at flere unge kan få en praktikplads og gøre deres erhvervsuddannelse færdig. For ingen gruppe er hårdere ramt end
netop de unge, og det skal vi selvfølgelig gøre noget ved. De unge
skal have en chance for at uddanne sig, passe et arbejde og vise,
hvad de kan. Regeringen har fremlagt en ungepakke, som indgår i
trepartsforhandlingerne.
Noget af det, vi forhandler om i trepartsforhandlingerne, vil kræve nye love her i Folketinget, og nogle af de temaer, vi vil tage op, er
omfattet af politiske aftaler. Det vil regeringen naturligvis respektere. Men jeg forventer også, at Folketinget tager godt imod en aftale
mellem vigtige aktører i vores samfund, for det er vores fælles opgave at bringe Danmark videre. Skattereform og trepartsaftale er to
vigtige skridt i den række af reformer, som skal sætte gang i Danmark.
Regeringen har også fremlagt et udspil til en reform af førtidspension og fleksjob, og vi vil fremlægge en reform af kontanthjælpsområdet. Vi vil fremlægge en reform, der skal få de unge til at blive
hurtigere færdig med uddannelsen, og rækken af reformer er skridt
på vejen til at nå de mål, vi har sat os i regeringens meget ambitiøse
2020-plan – »Danmark i arbejde«.
Regeringen er ikke kun optaget af at få tallene i statens regnskab
til at stemme på en bundlinje, der ligger 8 år ude i fremtiden. Vi vil
meget mere end det. Vi vil også bygge Danmark op. For det første
vil vi skabe grundlag for en solid vækst og gode arbejdspladser, især
i den private sektor. Det er vores mål, at den samlede beskæftigelse
frem mod 2020 skal vokse med det, der svarer til 180.000 flere i arbejde. For det andet vil vi styrke de offentlige finanser, så vi kan udvikle vores velfærd, satse på uddannelse og investere i fremtiden.
Lad mig nævne nogle vigtige eksempler: Regeringen vil investere i sundhed. Det vil vi gøre med flere penge til behandling af flere
ældre, med telemedicin, som giver patienterne mindre besvær, lægerne større effektivitet og i det hele taget giver ordet stuegang en ny
betydning. Regeringen vil et grønt Danmark, et Danmark, hvor kul
er skiftet ud med vind, og hvor danske virksomheder har del i det
voksende globale marked og skaber grønne arbejdspladser og ny
eksport. Vi har indgået en energiaftale, der er bredere, grønnere og
mere perspektivrig end nogen sinde før i Danmarks historie. Vi har

Vi har netop fremlagt en skattereform. Overskriften for skattereformen er den samme som for alle vores andre reformer: Danmark i
arbejde. Regeringens beslutninger handler om én ting: Vi skal arbejde os til et rigere Danmark, og derfor skal virksomhederne have gode vilkår. Vi skal give virksomhederne mulighed for ekstra afskrivninger for investeringer i maskiner, og det skal gælde resten af i år
og hele næste år. Det vil give ekstra investeringer i milliardklassen,
og det vil betyde flere danske arbejdspladser. Og så skal det være
slut med den iværksætterskat, som den tidligere regering indførte.
Det er en skat, der hæmmer virkelysten, og det er det modsatte, der
er brug for i dag. Vores iværksættere er det vækstlag, som nye succeser skal vokse ud af. Regeringens skatteudspil giver erhvervslivet
bedre vilkår for at skabe arbejdspladser.
Vi vil også belønne danskernes arbejdsindsats og flid. For hvem
sørger for, at der er varer i butikkerne, at vi bliver passet, når vi er
syge, og at hele vores hverdag fungerer? Og hvem sælger grønne
løsninger til Korea og enzymer til Indien og tjener penge hjem til vores land? Det gør alle de danskere, der hver eneste dag står op og går
på arbejde. Derfor skal der være en større gevinst ved at arbejde.
Regeringen vil øge beskæftigelsesfradraget – næsten til dobbelt
størrelse. Det vil gavne mennesker med helt almindelige indkomster,
f.eks. industriarbejdere, SOSU-hjælpere, frisører, og vi vil give et
ekstra fradrag til de enlige forsørgere; en enlig mor eller en enlig far
får dermed ikke fordoblet, men tredoblet sit beskæftigelsesfradrag.
Det giver større gevinst ved at komme i arbejde, så færre sidder fast i
et liv uden arbejde.
Vi vil også rykke grænsen for topskat op. Færre håndværkere,
klinikassistenter og skolelærere skal bremses af skattegrænser, når
de overvejer, om de er parat til at tage et par timers ekstra arbejde.
Regeringens samlede udspil til en skattereform vil give en almindelig familie med to børn over 7.000 kr. mere om året. Og finansieringen er på plads. Når vi giver penge ét sted, så finder vi dem et
andet sted. Vi giver ikke skattelettelser, som vi ikke har råd til. Skattereformen vil øge beskæftigelsen med det, der svarer til næsten
15.000 flere i arbejde.
Her er der nogle, som spørger: Hvorfor skal en håndværker arbejde mere, når der samtidig er andre håndværkere, der går ledige?
Hvorfor skal en sekretær tage en ekstra tørn, når der står arbejdsløse
sekretærer klar til at tage over? Der er to svar på det spørgsmål. Mit
første svar handler om i dag, for selvfølgelig skal vi her og nu gøre,";Kl. 09:06
