split;reason;text;value
0;;"OMTRYK

Tirsdag den 19. maj 2015 (D)

93. møde";
81;Time;"Dagsorden
1) Spørgetimen med statsministeren.
2) Spørgsmål om fremme af forespørgsel nr. F 42:
Forespørgsel til justitsministeren og ministeren for børn, ligestilling,
integration og sociale forhold om tværfaglige sociale indsatser.
Af Trine Mach (SF) og Karina Lorentzen Dehnhardt (SF).
(Anmeldelse 12.05.2015).
3) Fortsættelse af forespørgsel nr. F 26 [afstemning]:
Forespørgsel til udenrigsministeren om befolkningers ret til selvbe‐
stemmelse.
Af Nikolaj Villumsen (EL) og Christian Juhl (EL).
(Anmeldelse 17.03.2015. Fremme 19.03.2015. Forhandling
12.05.2015. Forslag til vedtagelse nr. V 52 af Nikolaj Villumsen
(EL), Søren Pind (V), Jacob Lund (S), Lone Loklindt (RV), Holger
K. Nielsen (SF), Mette Bock (LA) og Lars Barfoed (KF)).
4) Fortsættelse af forespørgsel nr. F 28 [afstemning]:
Forespørgsel til udenrigsministeren om det armenske folkedrab.
Af Nikolaj Villumsen (EL) og Christian Juhl (EL).
(Anmeldelse 17.03.2015. Fremme 19.03.2015. Forhandling
12.05.2015. Forslag til vedtagelse nr. V 53 af Nikolaj Villumsen
(EL). Forslag til vedtagelse nr. V 54 af Jacob Lund (S), Lone Lo‐
klindt (RV), Holger K. Nielsen (SF) og Lars Barfoed (KF)).
5) 3. behandling af lovforslag nr. L 169:
Forslag til lov om ændring af lov om aktiv socialpolitik. (Justering af
regler om tilskud til tandpleje m.v.).
Af ministeren for børn, ligestilling, integration og sociale forhold
(Manu Sareen).
(Fremsættelse 25.03.2015. 1. behandling 09.04.2015. Betænkning
07.05.2015. 2. behandling 12.05.2015).
6) 3. behandling af lovforslag nr. L 176:
Forslag til lov om en ordning for økonomisk risikodækning i forbin‐
delse med geotermiboringer.
Af klima-, energi- og bygningsministeren (Rasmus Helveg Peter‐
sen).
(Fremsættelse 25.03.2015. 1. behandling 10.04.2015. Betænkning
07.05.2015. 2. behandling 12.05.2015. Lovforslaget optrykt efter 2.
behandling).
7) 3. behandling af lovforslag nr. L 177:
Forslag til lov om ændring af lov om varmeforsyning og byggelo‐
ven. (Kommuners adgang til varetagelse af varmeforsyningsvirk‐

OMTRYK
Udvalgshenvisning B 172

somhed samt bygningsopvarmning baseret på vedvarende energi
m.v.).
Af klima-, energi- og bygningsministeren (Rasmus Helveg Peter‐
sen).
(Fremsættelse 25.03.2015. 1. behandling 10.04.2015. Betænkning
07.05.2015. 2. behandling 12.05.2015. Lovforslaget optrykt efter 2.
behandling).
8) 3. behandling af lovforslag nr. L 185:
Forslag til lov om ændring af udlændingeloven og lov om ferie. (Ud‐
møntning af aftalen om en bedre au pair-ordning m.v.).
Af beskæftigelsesministeren (Henrik Dam Kristensen).
(Fremsættelse 08.04.2015. 1. behandling 14.04.2015. Betænkning
07.05.2015. 2. behandling 12.05.2015).
9) 3. behandling af lovforslag nr. L 180:
Forslag til lov om ændring af lov om friskoler og private grundsko‐
ler m.v. og lov om efterskoler og frie fagskoler. (Tilskud til inklusi‐
on, specialundervisning og anden specialpædagogisk bistand på frie
skoler og enkeltfagsprøve på frie fagskoler m.v.).
Af undervisningsministeren (Christine Antorini).
(Fremsættelse 26.03.2015. 1. behandling 10.04.2015. Betænkning
05.05.2015. 2. behandling 12.05.2015. Lovforslaget optrykt efter 2.
behandling).
10) 3. behandling af lovforslag nr. L 140:
Forslag til lov om ændring af forskellige lovbestemmelser om an‐
søgninger, anmodninger, meddelelser og klager til offentlige myn‐
digheder. (Overgang til obligatorisk digital selvbetjening, for så vidt
angår anmodning om sygedagpenge, afgivelse af samtykke til ud‐
stedelse af børneattest og straffeattest til offentlig brug, ansøgning
og meddelelser m.v. om personligt tillæg og helbredstillæg, indgi‐
velse af klager til Patientombuddet, Sundhedsvæsenets Disciplinær‐
nævn og Ankenævnet for Patienterstatningen, ansøgning om udsted‐
else af personcertifikater på luftfartsområdet, anmodning om be‐
handling af klager fra flypassagerer, ansøgning om chaufføruddan‐
nelsesbeviser m.v.).
Af finansministeren (Bjarne Corydon).
(Fremsættelse 19.02.2015. 1. behandling 27.02.2015. Betænkning
07.05.2015. 2. behandling 12.05.2015. Tillægsbetænkning
13.05.2015).
11) 3. behandling af lovforslag nr. L 166:
Forslag til lov om ændring af lov om vederlag og pension m.v. for
ministre. (Forlængelse af perioden for midlertidig nedsættelse af
grundvederlag til ministre).
Af finansministeren (Bjarne Corydon).
(Fremsættelse 19.03.2015. 1. behandling 26.03.2015. Betænkning
06.05.2015. 2. behandling 12.05.2015).
12) 2. (sidste) behandling af beslutningsforslag nr. B 75:
Forslag til folketingsbeslutning om varig nedsættelse af ministerve‐
derlag.

2

Tirsdag den 19. maj 2015(D)

Af Pernille Skipper (EL) m.fl.
(Fremsættelse 18.02.2015. 1. behandling 24.04.2015. Betænkning
06.05.2015).
13) 2. (sidste) behandling af beslutningsforslag nr. B 80:
Forslag til folketingsbeslutning om politikernes pensionsalder.
Af Pernille Skipper (EL) m.fl.
(Fremsættelse 25.02.2015. 1. behandling 24.04.2015. Betænkning
06.05.2015).
14) 2. (sidste) behandling af beslutningsforslag nr. B 81:
Forslag til folketingsbeslutning om mindre lukrativ optjening af pen‐
sion for ministre.
Af Pernille Skipper (EL) m.fl.
(Fremsættelse 25.02.2015. 1. behandling 24.04.2015. Betænkning
06.05.2015).
15) 2. (sidste) behandling af beslutningsforslag nr. B 82:
Forslag til folketingsbeslutning om mindre lukrativ beregning af
pension til ministre.
Af Pernille Skipper (EL) m.fl.
(Fremsættelse 25.02.2015. 1. behandling 24.04.2015. Betænkning
06.05.2015).
16) 2. (sidste) behandling af beslutningsforslag nr. B 83:
Forslag til folketingsbeslutning om et mere rimeligt loft for politi‐
kerpensioner.
Af Pernille Skipper (EL) m.fl.
(Fremsættelse 25.02.2015. 1. behandling 24.04.2015. Betænkning
06.05.2015).
17) 2. (sidste) behandling af beslutningsforslag nr. B 84:
Forslag til folketingsbeslutning om at ophæve muligheden for at
modtage vederlag og ministerpension samtidig.
Af Pernille Skipper (EL) m.fl.
(Fremsættelse 25.02.2015. 1. behandling 24.04.2015. Betænkning
06.05.2015).
18) 2. (sidste) behandling af beslutningsforslag nr. B 40:
Forslag til folketingsbeslutning om bedre indeklima i skolerne.
Af Alex Ahrendtsen (DF) m.fl.
(Fremsættelse 02.12.2014. 1. behandling 26.03.2015. Betænkning
05.05.2015).
19) 2. (sidste) behandling af beslutningsforslag nr. B 99:
Forslag til folketingsbeslutning om forbud mod, at danske statsbor‐
gere og herboende udlændinge rejser ind i Syrien og Nordirak, og ef‐
fektive reaktionsmuligheder ved overtrædelse af forbuddet.
Af Martin Geertsen (V), Martin Henriksen (DF), Simon Emil Am‐
mitzbøll (LA) og Mai Mercado (KF).
(Fremsættelse 19.03.2015. 1. behandling 17.04.2015. Betænkning
12.05.2015).
20) 2. (sidste) behandling af beslutningsforslag nr. B 91:
Forslag til folketingsbeslutning om skærpet straf for tyveri ved sam‐
tidig forstyrrelse af driften af almindelige samfærdselsmidler m.v.
Af Mai Mercado (KF) og Mike Legarth (KF).
(Fremsættelse 11.03.2015. 1. behandling 17.04.2015. Betænkning
13.05.2015).
21) 2. (sidste) behandling af beslutningsforslag nr. B 170:
Forslag til folketingsbeslutning om ændring af forretningsorden for
Folketinget.
(Forslag som fremsat (i betænkning) 06.05.2015. Anmeldelse (i sa‐
len) 08.05.2015. 1. behandling 12.05.2015).

22) 2. behandling af lovforslag nr. L 181:
Forslag til lov om ændring af lov om folkeskolen. (Indførelse af fæl‐
les prøve i fysik/kemi, biologi og geografi, ændring af bedømmel‐
sesordning ved folkeskolens skriftlige prøver m.v.).
Af undervisningsministeren (Christine Antorini).
(Fremsættelse 26.03.2015. 1. behandling 10.04.2015. Betænkning
12.05.2015).
23) 1. behandling af beslutningsforslag nr. B 121:
Forslag til folketingsbeslutning om at sikre mulighed for, at danske
universiteter kan udbyde undervisning på dansk på nabolandes uni‐
versiteter beliggende i grænselandsområdet til Danmark.
Af Esben Lunde Larsen (V) og Per Stig Møller (KF) m.fl.
(Fremsættelse 27.03.2015).
24) 1. behandling af beslutningsforslag nr. B 151:
Forslag til folketingsbeslutning om afskaffelse af den årlige 2-pro‐
centsbesparelse (»grønthøsteren«) på finanslovens § 19 (Uddannel‐
ses- og Forskningsministeriet) og § 20 (Undervisningsministeriet).
Af Rosa Lund (EL) og Pernille Skipper (EL).
(Fremsættelse 07.04.2015).
25) 1. behandling af beslutningsforslag nr. B 161:
Forslag til folketingsbeslutning om underretningspligt, når vanrøgt
af dyr bliver observeret.
Af Dennis Flydtkjær (DF) m.fl.
(Fremsættelse 08.04.2015).
26) 1. behandling af lovforslag nr. L 205:
Forslag til lov om en midlertidig jobpræmie til personer med langva‐
rig ydelsesperiode.
Af beskæftigelsesministeren (Henrik Dam Kristensen).
(Fremsættelse 12.05.2015).
27) 1. behandling af beslutningsforslag nr. B 113:
Forslag til folketingsbeslutning om ledsageordning for udviklings‐
hæmmede.
Af Stine Brix (EL) m.fl.
(Fremsættelse 27.03.2015).
28) 1. behandling af beslutningsforslag nr. B 115:
Forslag til folketingsbeslutning om forbedret ledsageordning for
børn og voksne med handicap.
Af Stine Brix (EL) m.fl.
(Fremsættelse 27.03.2015).
29) 1. behandling af beslutningsforslag nr. B 147:
Forslag til folketingsbeslutning om klare regler for definitionen af
enlige forsørgere og enlige pensionister.
Af Finn Sørensen (EL) m.fl.
(Fremsættelse 27.03.2015).
30) 1. behandling af beslutningsforslag nr. B 146:
Forslag til folketingsbeslutning om initiativer til at sikre børn i dag‐
tilbud et udviklende, sikkert og sundt børnemiljø – en arbejdsmiljø‐
lov for børn.
Af Trine Mach (SF) m.fl.
(Fremsættelse 27.03.2015).
31) Forespørgsel nr. F 25:
Forespørgsel til ministeren for børn, ligestilling, integration og soci‐
ale forhold om familiepolitik.
Af Trine Mach (SF) og Rosa Lund (EL).

Tirsdag den 19. maj 2015 (FM )

(Anmeldelse 17.03.2015. Fremme 19.03.2015).";kl. 13.00
9759;Time;"Formanden:
Mødet er åbnet.

Det første punkt på dagsordenen er:
1) Spørgetimen med statsministeren.

3

Venstre indfører nulvækst. Hvor skal der spares? Og forvirringen
rækker sådan set videre, for også Dansk Folkeparti skylder svar.
Det er jo en kendt sag, at Dansk Folkepartis eneste mærkesag er,
at hr. Lars Løkke Rasmussen skal være statsminister i Danmark.
Dansk Folkeparti er en del af en borgerlig blok, som ønsker nul‐
vækst eller sågar minusvækst. Men det spørgsmål, der skulle besva‐
res, er: Hvorfor støtter Dansk Folkeparti, at Danmark får en rege‐
ring, der vil gøre velfærden dårligere i Danmark?
Den kurs, regeringen har lagt, har bragt Danmark videre. Det er
en kurs, vi ønsker at fortsætte i de kommende år. Det er en kurs,
hvor vi investerer lidt mere i velfærden hvert år. Det står helt klart.
Men vi kender stadig ikke den plan, som Venstre og Dansk Folke‐
parti har for Danmark. Hvem ved, måske får vi nogle svar i dag.";Kl. 13:00
10711;Time;;Kl. 13:04
10722;Time;"Formanden:
Jeg giver ordet til statsministeren for en indledende redegørelse.";Kl. 13:00
10811;Time;;Kl. 13:00
10853;title_name;":
Tak for det. Vi har i dag den sidste spørgetime i det her folketingsår,
og man må jo sige, at vi er nået vidt omkring i det år, der er gået.
Derfor kan det nok være nyttigt at summere lidt op i dag.
Siden 2011 har regeringen investeret 14 mia. kr. mere i vores
fælles velfærd. Det betyder, at der aldrig er blevet brugt så mange
penge på uddannelse, at der aldrig er blevet investeret mere i sund‐
hed, og der er 7.000 flere medarbejdere i sundhedsvæsenet. Det har
vi valgt at gøre, selv om økonomien er stram.
I de kommende år ved vi alle sammen, at der bliver flere og flere
danske ældre, og vi skal have råd til deres pleje og omsorg, og vi
skal have råd til forbedringer inden for kerneområder som sundhed
og uddannelse. Det har regeringen sat penge af til: 3 mia. kr. i gen‐
nemsnit hvert år. Det er ikke meget. Det er et beskedent beløb hvert
år, som kræver, at vi bliver ved med at styre økonomien stramt, men
det er nok til, at vi kan styrke velfærden i de år, der kommer.
Det kunne virke, som om Venstre vil prioritere mange af de sam‐
me velfærdsområder som regeringen, f.eks. sundhed, men man vil
samtidig give store skattelettelser. Hvis Venstre virkelig ønsker at
prioritere de velfærdsområder, som regeringen vil, vil det ifølge
Venstres plan kræve besparelser andre steder. Der skal 3 mia. kr. til
at dække investeringsbehovet det først år, og herefter skal man finde
nye besparelser på 3 mia. kr. år efter år.
Store besparelser er ikke det, Danmark har brug for. Vi skal hol‐
de kursen. Dansk økonomi er i fremgang. Vi har haft vækst i 1½ år,
arbejdsløsheden falder, beskæftigelsen stiger, og virksomhedernes
konkurrenceevne er forbedret. Der er rekordlave ventetider på opera‐
tioner; ungdomskriminaliteten falder. Danmark står ganske enkelt et
bedre sted i dag end for 4 år siden. Regeringens politik er klar. Vi
har skabt resultater.
Til gengæld må man sige, at forvirringen om, hvad oppositionen
egentlig vil med Danmark, næppe har været større. Vi ved, at der
skal være nulvækst i mange år frem, sådan at pengene kan gå til
skattelettelser, men hvem skal egentlig have de skattelettelser? Ven‐
stre har gennem årene givet løfter til rigtig mange: Til de rigeste fa‐
milier, til olieselskaberne, til erhvervslivet, skattelettelser i toppen,
skattelettelser i bunden – listen er lang. Venstre vil ikke alene bruge
flere penge på skattelettelser. Venstre siger også, at der skal bruges
flere penge på f.eks. sundhed, de ældre, politiet og på forsvaret, og
det er samtidig med, at der skal være nulvækst. Det hænger ikke
sammen.
Tirsdag efter tirsdag undlader oppositionen at komme med svar.
Men hvor ville det dog være fantastisk, hvis det var i dag, hr. Lars
Løkke Rasmussen ville løfte sløret for, hvor der skal spares, når

Formanden:
Tak til statsministeren for den indledende redegørelse.
Vi går så videre til partilederne, og jeg tror, det er nødvendigt for
mig igen at præcisere, at i første runde har spørger og statsminister
begge 2 minutter, og i de to følgende runder har spørger og minister
hver 1 minut højst.
Det er først hr. Lars Løkke Rasmussen som Venstres leder. Vær‐
sgo.";Helle Thorning-Schmidt
13973;Time;Spm. nr. US 81;Kl. 13:05
14014;name_party;":
Tak for det. Tirsdag efter tirsdag får vi ikke noget svar. Det kan vi da
lave om på, det synes jeg da. Altså, det er den sidste tirsdag med
spørgetime i den her folketingssamling og dermed også med sikker‐
hed den sidste spørgetime, inden vi har haft et folketingsvalg. Jeg
skal da ikke lægge skjul på, at jeg har en ambition om at bringe mig
selv i en position, hvor jeg har mulighed for at give svar på det, der
spørges om i spørgetimen til statsministeren. For det er jo sådan en,
vi afvikler nu.
Jeg vil sådan set gerne tage fat i noget af det, som statsministeren
egentlig også berører her, og som statsministeren jo er vendt tilbage
til i spørgetime efter spørgetime, nemlig Venstres politik. Det står
helt uklart, hvad der er regeringens, og hvad man egentlig går til
valg på. Hvis man bevæger sig rundt i Danmark i øjeblikket, kan
man se outdoor-reklamer med lidet flatterende billeder af mig selv
og med en ren skræmmekampagne om Venstres politik. Der er ikke
grænser for alle de mennesker, der skal fyres alle steder i den offent‐
lige sektor, hvis vi skulle få magt, som vi har agt. Jeg ville jo gerne
tale om fremtiden, men når statsministeren nu selv bygger det her
skræmmebillede op om, hvor mange der skal fyres i den offentlige
sektor, så synes jeg egentlig, at jeg her i den sidste spørgetime i den
her valgperiode, hvor jeg i hvert fald med sikkerhed har mulighed
for at stille spørgsmål til statsministeren – jeg håber, det er sidste
gang, jeg har den mulighed – vil stille statsministeren nogle spørgs‐
mål.
For når statsministeren nu er så optaget af at tale om konsekven‐
serne af den førte politik, forekommer det meget enkelt at stille et
helt simpelt spørgsmål, nemlig: Statsministeren påstår, at Venstres
politik vil føre til tusindvis færre offentligt ansatte. Men vil statsmi‐
nisteren så ikke bare starte dagens spørgetime med at svare på, hvor
mange flere eller færre offentligt ansatte der er i dag sammenlignet
med den dag, hvor jeg trådte fra og overlod regeringsansvaret til
statsministeren?";Lars Løkke Rasmussen
16051;Time;"Formanden:
Statsministeren.

4

Tirsdag den 19. maj 2015 (US 81)";Kl. 13:07
