text;Name;Time
":
Jeg kan forstå, at syge mennesker åbenbart ikke er noget, der interesserer beskæftigelsesministeren, regeringen, Venstre og Konservative
eller Dansk Folkeparti. Syge mennesker, der mister deres forsørgelsesgrundlag, er tydeligvis overhovedet ikke noget, som de nævnte
partier tager alvorligt. Herregud, det drejer sig jo bare om et par tusind mennesker hvert år, så det er jo ikke noget at bekymre sig om,
og hvis de skal hjælpes, så er det da bedst gjort ved at tage pengene
fra dem, så skal de nok blive raske.
Det er konklusionen på førstebehandlingen af vores forslag om at
afskaffe varighedsbegrænsningen på sygedagpenge. Hvor mange historier skal der til, før regeringen, Venstre og Konservative og
Dansk Folkeparti forstår, at det er et reelt problem for mennesker af
kød og blod derude i samfundet? Vi har hørt utallige beretninger under udvalgsbehandlingen, haft besøg af selvstændige erhvervsdrivende fra Bornholm, en sekretær fra Helsingør og repræsentanter fra
Hærens Konstabel- og Korporalforening, der hver især har bidraget
med deres historier om sygdom, et usmidigt system og tabet af forsørgelse.
Jeg har her tal fra Hærens Konstabel- og Korporalforening og
Livslinjen, tal, der fortæller om soldater, der har været udsendt til
Irak, Afghanistan og Balkan og kommer hjem, fratræder fra tjeneste
og mister sygedagpengene. De har i alt 303 sager på deres liste. 175
af disse personer er på kontanthjælp, og af dem har de 45 mistet forsørgelsen. Så ikke nok med, at de er blevet udsendt og er blevet
skudt på i Danmarks tjeneste, de har også som tak fået en nulbon og
absolut ingen hjælp.
De står sammen med hundredvis af andre uden forsørgelse. De er
så syge, at de ikke kan arbejde og er absolut uden håb. Det kan vi
simpelt hen ikke være bekendt.
Jeg er meget ked af, at der overhovedet ikke har været så meget
som antydningen af ændring i ministerens opfattelse i den her sag,
og det samme gælder partierne Venstre og Konservative. Man lukker
øjnene og vil ikke indse, at det er et problem, som vi her i Tinget må
forholde os til.
Det, der har været det mest sørgelige i den her sag, har så været
at høre på Dansk Folkepartis sædvanlige udmeldinger om, at nu skal
de nok beskytte de svage og hjælpe de syge, men bagefter, når det så
gælder, løber de fra løfterne. Derfor vil alle om et øjeblik kunne se

Torsdag den 8. april 2010 (B 95)

medlemmerne af Dansk Folkeparti stemme imod vores forslag om
afskaffelse af varighedsbegrænsningen på sygedagpengene. Løftebrud og løgnagtighed vil nogle måske finde på at kalde det, men jeg
vil blot sige, at Dansk Folkeparti i denne sag som i så mange andre
siger et og gør noget andet og lader sammen med resten af den borgerlige fløj de svage og de syge i stikken.";Lennart Damsbo-Andersen;10H 2M 0S
"Formanden :
Tak. Så er det hr. Eigil Andersen som ordfører.";Lennart Damsbo-Andersen;10H 4M 0S
(Ordfører);Lennart Damsbo-Andersen;10H 5M 0S
":
Dansk Folkeparti svigter de syge. Det er meget, meget sørgeligt.
Mange mennesker har nok regnet med, at Dansk Folkeparti er et parti, som for alvor vil forbedre forholdene for langtidssyge og andre
udsatte grupper i samfundet. Men sådan er det ikke, og det vil vi desværre få at se ved afstemningen om lidt.
Samfundet fratager hvert år 6.000 langtidssyge deres sygedagpenge, ikke fordi de er blevet raske, men fordi der er lovregler, der
siger, at sygedagpengene udløber efter en bestemt periode, selv om
de pågældende stadig væk er syge. Man reklamerer så en del med, at
der er forlængelsesmuligheder i sygedagpengeloven, og det er der.
Men Beskæftigelsesministeriets egne tal viser, at efter at forlængelserne er blevet brugt, er der stadig væk de nævnte 6.000 mennesker,
der årligt bliver frataget deres sygedagpenge i Danmark. De 6.000
havner på kontanthjælp, og for mellem 1.000 og 2.000 af dem betyder det en indtægt på – hold godt fast – 0,0 kr. De kan ikke få kontanthjælp, fordi de har en ejerbolig eller en ægtefælle, som har en
indtægt fra et job.
Så kan man spørge sig selv: Hvad betyder det at have en indtægt
på 0,0 kr.? Her synes jeg jo at det enkelte folketingsmedlem, som
skal deltage i den her afstemning om lidt, kan overveje med sig selv,
hvordan vedkommendes egen økonomi ville se ud, hvis vedkommende fik 0,0 kr. den ene måned efter den anden. Her bliver der grinet fra Dansk Folkepartis side, kan jeg høre, men jeg kan sige, at de
langtidssyge, som kommer i den situation at få 0,0 kr., havner i noget ganske forfærdeligt. Det er jo klart, at ens økonomi hurtigt vil
komme til at ligge i ruiner, og at man vil være tvunget til at gå fra
hus og hjem.
Det er den måde, man behandler langtidssyge på i dagens Danmark. Det er mennesker, som i forvejen er hårdt belastet af deres
sygdom, ofte en alvorlig sygdom. De er simpelt hen usikre på fremtiden og spørger: Ender det med, at jeg dør, og hvis jeg lever, kan
jeg så komme tilbage på arbejdsmarkedet og have en indtægt derfra?
Det skaber simpelt hen en så stor usikkerhed og utryghed, at mange
bliver nedbrudt af dårlige nerver, og det er forståeligt nok. Og hvad
gør samfundet? Samfundet giver dem så det sidste skub ud over kanten ved at tage deres sygedagpenge fra dem. Det er simpelt hen
skammeligt, og det kan vi ikke være bekendt som samfund.
Derfor sørger det her beslutningsforslag for, at alle syge beholder
deres sygedagpenge, indtil det er afklaret, om den langtidssyge kan
fortsætte på arbejdsmarkedet på almindelige vilkår, om vedkommende skal have et fleksjob, eller om vedkommende skal have en førtidspension. Det er naturligvis det eneste anstændige og menneskelige at gøre.
Dansk Folkeparti og regeringen har så lavet en lille lap på det
her, hvilket formentlig vil redde omkring 500. Men tilbage er der altså 11 gange så mange, 5.500, der hvert år i Danmark stadig vil miste
deres sygedagpenge. Jeg må sige det, som det er: Jeg havde faktisk
regnet med, desværre, at Venstre og Konservative ville føre en
umenneskelig politik på det her område, men jeg er dybt skuffet over
Dansk Folkeparti. Det er simpelt hen skammeligt, at Dansk Folkeparti ikke vil være med til at redde 5.500 langtidssyge hvert år ved at

3

stemme for det her forslag. For hvis Dansk Folkeparti ville stemme
for forslaget, ville det blive vedtaget.";Eigil Andersen;10H 5M 0S
"Formanden :
Tak til hr. Eigil Andersen. Så er det hr. Bent Bøgsted som ordfører.";Eigil Andersen;10H 9M 0S
(Ordfører);Eigil Andersen;10H 9M 0S
":
Det, der får mig til at gå op, er selvfølgelig, at de beskyldninger, der
kommer mod Dansk Folkeparti, ikke skal stå uimodsagt. For i forbindelse med sygedagpengeloven har Dansk Folkeparti fået flere
forlængelsesmuligheder igennem, og når de bliver kombineret på
den rigtige måde, er der mange, der kan få gavn af det ude i kommunerne, når de kommer på sygedagpenge.
Men det, som hr. Eigil Andersen og hr. Lennart Damsbo-Andersen glemmer at omtale, når de står heroppe, er jo, at mange af de årsager, der er til, at der er folk, der mister sygedagpengene, er de
skrappe regler, som ordførerne for de to partier har været med til at
lave, dengang loven om førtidspension og fleksjobordning blev indført under den tidligere Nyrupregering. Det var i 2001, at den blev
vedtaget, og den trådte i kraft i 2003.
Derfor er der mange, der fejlagtigt tror, at det er Dansk Folkeparti, der har været med til at lave de stramme regler, der er årsag til, at
folk bliver slæbt igennem den ene arbejdsprøvning efter den anden,
og så falder de ud af systemet i forbindelse med sygedagpenge. Det
glemmer de to ordførere at omtale heroppe, for det er bekvemt at
undgå at sige: Vi har noget af ansvaret for, at folk falder ud af sygedagpengesystemet.
Når kommunerne bruger forlængelsesmulighederne på den rigtige måde, kan man godt nå at få arbejdsprøvet og fundet ud af, om
borgerne skal have førtidspension eller fleksjobordning. Men det har
man set stort på i forbindelse med loven, man indførte i 2001, og
som trådte i kraft i 2003.
Derimod har Dansk Folkeparti prøvet på at rette op på det. Vi erkender, at vi ikke har kunnet komme igennem med en stor forlængelsesmulighed ved den sidste finanslov, hvor vi havde et ønske om
noget mere, men vi har trods alt fået forlængelsesmuligheder igennem, der gør, at der, hvis de bliver brugt rigtigt, er mange, der ikke
kommer i den situation, at de falder ud.
Men det var måske på sin plads, at man så på, hvordan det er, der
bliver handlet i forbindelse med arbejdsprøvning af dem, der skal i
fleksjob og på førtidspension. Det var måske en idé, at de to herrer,
ordføreren for Socialdemokratiet og ordføreren for Socialistisk Folkeparti, tog det op i den kreds, der har været med til at lave reglerne
for førtidspension og fleksjob. Har vi selv været skyld i, at der er så
mange, der falder ud? Ja, det har man i den forbindelse. For man har
gjort det vanskeligt for folk at komme igennem en arbejdsprøvning.
Kommunerne trækker folk gennem den ene arbejdsprøvning efter
den anden, fordi de ikke vil have dem over på førtidspension og
fleksjob. Det skulle man se på.
Det er beklageligt, at man så skal stå heroppe og hælde vand ud
af ørerne om, hvor forfærdeligt det er, når man selv har været med til
at gøre det vanskeligt for folk, der er på sygedagpenge. Det er meget
behændigt at undgå at omtale det.";Bent Bøgsted;10H 9M 0S
"Formanden :
Tak. Der er ønsker om korte bemærkninger. Så vi bytter. Det er hr.
Lennart Damsbo-Andersen, og så har jeg noteret hr. Eigil Andersen
og hr. Morten Østergaard.

4

Torsdag den 8. april 2010 (B 95)";Bent Bøgsted;10H 12M 0S
":
Nu kan jeg forstå, at vi skal tilbage til den forhandling, vi havde under førstebehandlingen, hvor hr. Bent Bøgsted også hældte vand ud
af ørerne om, hvad det var, der blev besluttet for 20 år siden her i
Tinget.
Det er jo sådan, at i Socialdemokratiet er vi blevet klogere, og vi
har lært og har set, at der faktisk er mennesker, der bliver ramt af de
begrænsninger, som findes i dag. 6.000 mennesker mister deres sygedagpenge, og 1.000 eller flere mister deres forsørgelse hvert evig
eneste år, vil jeg sige til hr. Bent Bøgsted. Det må man da forholde
sig til.
Nu skal jeg lade være med at sige, hvor det lige kommer fra, men
man kunne jo sige: Kom nu ind i kampen. Det kan da godt være, at
man i Dansk Folkeparti har haft mulighed for at presse regeringen
nogle få gange, men var der så ikke mulighed for at komme med et
tilsagn nu i dag og sige, at pr. 1. januar sørger Dansk Folkeparti sammen med resten af oppositionen for at der ikke er nogen varighedsbegrænsning på sygedagpengene?

Formanden :
Hr. Bent Bøgsted for en kort bemærkning.";Lennart Damsbo-Andersen;10H 12M 0S
":
Ja, og den afskaffelse af varighedsbegrænsningen, som hr. Lennart
Damsbo-Andersen vil have, løser heller ikke noget for dem, der er
blevet ramt. Sådan kan man hele tiden sige det.
Men altså, det er jo på sin plads at se på, hvad der er årsagen til,
at problemerne opstår. Vi har bl.a. også set, at der er en stor del af
kommunerne, der fratager syge deres dagpenge, og som bliver underkendt, når det bliver anket. Det var måske også rimeligt, at man
så på, hvordan der bliver ageret der, så der ikke sker noget uoverlagt.
Jeg synes, hr. Lennart Damsbo-Andersen skulle tage en snak med
sin forligskreds om førtidspension og fleksjob, når det er blevet erkendt, at de regler, som hr. Lennart Damsbo-Andersens parti har været med til at indføre, ikke var så vellykkede. Hr. Lennart DamsboAndersen hat stået heroppe og erkendt, at de er blevet klogere.";Bent Bøgsted;10H 12M 0S
